forecast_date,Year1,Month1,Day1,Weekday,Season,Max_Temperature,Min_Temperature,Avg_Temperature,Max_Humidity,Min_Humidity,Avg_Humidity,Min_Rainfall,Max_Rainfall,Avg_Rainfall,Max_Heat_Index,Min_Heat_Index,Avg_Heat_Index,saturday,sunday,Holiday,working_day,holiday_name,offered calls
1/4/2018,2018,4,1,1,2,33,24,27.726315,93,55,75.189473,0,0,0,39,24,30.8,0,1,0,0,.,5472
2/4/2018,2018,4,2,2,2,33,24,27.810526,85,58,71.515789,0,0,0,40,25,30.978947,0,0,0,1,.,6844
3/4/2018,2018,4,3,3,2,32,24,27.831578,85,47,70.157894,0,0,0,36,25,30.642105,0,0,0,1,.,6819
4/4/2018,2018,4,4,4,2,32,25,28.621052,88,54,71.494736,0,0,0,41,25,32.705263,0,0,0,1,.,7534
5/4/2018,2018,4,5,5,2,32,25,28.705263,89,59,72.48421,0,0,0,41,27,33.115789,0,0,0,1,.,6845
6/4/2018,2018,4,6,6,2,33,25,28.652631,85,49,70.957894,0,0,0,40,26,32.442105,0,0,0,1,.,6485
7/4/2018,2018,4,7,7,2,33,25,28.926315,87,53,70.778947,0,0,0,41,27,32.957894,1,0,0,1,.,6409
8/4/2018,2018,4,8,1,2,33,24,28.694736,88,51,71.621052,0,0,0,41,25,32.589473,0,1,0,0,.,4263
9/4/2018,2018,4,9,2,2,35,24,29.063157,83,33,63.28421,0,0,0,38,25,31.463157,0,0,0,1,.,7153
10/4/2018,2018,4,10,3,2,36,25,28.8,88,36,71.294736,0,0,0,42,27,32.663157,0,0,0,1,.,6779
11/4/2018,2018,4,11,4,2,32,26,28.578947,86,51,74.210526,0,0,0,40,28,33.126315,0,0,0,1,.,6748
12/4/2018,2018,4,12,5,2,33,26,28.715789,86,60,75.6,0,0,0,41,28,33.557894,0,0,0,1,.,6829
13/04/2018,2018,4,13,6,2,33,25,28.831578,90,59,77.157894,0,0,0,42,27,34.242105,0,0,0,1,.,7525
14/04/2018,2018,4,14,7,2,33,25,28.821052,91,61,77.757894,0,0,0,42,27,34.315789,2,0,1,0,Dr. Ambedkar Jayanti,6654
15/04/2018,2018,4,15,1,2,32,26,28.905263,87,63,77.515789,0,0,0,41,29,34.88421,0,1,0,0,.,4000
16/04/2018,2018,4,16,2,2,33,27,29.768421,84,65,75.873684,0,0,0,43,32,36.48421,0,0,0,1,.,7925
17/04/2018,2018,4,17,3,2,35,28,31.2,88,59,73.168421,0,0,0,49,34,40.073684,0,0,0,1,.,8275
18/04/2018,2018,4,18,4,2,35,29,31.294736,85,54,71.4,0,0,0,46,36,39.473684,0,0,0,1,.,8696
19/04/2018,2018,4,19,5,2,35,27,30.968421,86,44,66.589473,0,0,0,46,30,36.926315,0,0,0,1,.,8361
20/04/2018,2018,4,20,6,2,34,26,29.821052,81,55,69.063157,0,0,0,41,29,35.147368,0,0,0,1,.,7615
21/04/2018,2018,4,21,7,2,33,27,29.48421,83,62,74.178947,0,0,0,42,30,35.368421,1,0,0,1,.,4729
22/04/2018,2018,4,22,1,2,36,26,30.389473,86,30,61.821052,0,0,0,40,30,33.757894,0,1,0,0,.,3609
23/04/2018,2018,4,23,2,2,34,26,29.68421,83,48,70.568421,0,0,0,42,28,34.789473,0,0,0,1,.,4220
24/04/2018,2018,4,24,3,2,34,26,29.68421,83,48,70.568421,0,0,0,42,28,34.789473,0,0,0,1,.,2683
25/04/2018,2018,4,25,4,2,34,26,29.526315,87,47,70.168421,0,0,0,42,28,34.147368,0,0,0,1,.,1881
